LONG,LAT
-111.470690,32.343750
-111.368966,32.343750
-111.368966,32.343750
-111.368966,32.343750
-111.368966,32.343750
-111.368966,32.343750
-111.267241,32.343750
-111.165517,32.343750
-111.165517,32.343750
-111.165517,32.291667
-111.063793,32.291667
-110.962069,32.291667
-110.860345,32.291667
-110.758621,32.239583
-110.555172,32.187500
-110.453448,32.187500
-110.351724,32.187500
-110.148276,32.135417
-110.046552,32.135417
-109.843103,32.083333
-109.843103,32.083333
-109.741379,32.083333
-109.639655,32.083333
-109.537931,32.083333
-109.436207,32.083333
-109.436207,32.083333
-109.334483,32.083333
-109.334483,32.083333
-109.232759,32.083333
-109.131034,32.083333
-109.029310,32.083333
-109.029310,32.083333
-108.927586,32.031250
-108.927586,32.031250
-108.825862,32.031250
-108.622414,31.979167
-108.520690,31.979167
-108.520690,31.979167
-108.520690,31.979167
-108.418966,31.979167
-108.418966,31.979167
-108.317241,31.979167
-108.215517,31.927083
-108.215517,31.927083
-108.113793,31.927083
-108.012069,31.927083
-107.910345,31.927083
-107.910345,31.927083
-107.910345,31.927083
-107.808621,31.927083
-107.706897,31.927083
-107.605172,31.927083
-107.605172,31.927083
-107.401724,31.927083
-107.300000,31.927083
-107.198276,31.927083
-107.096552,31.927083
-106.994828,31.927083
-106.994828,31.927083
-106.893103,31.927083
-106.791379,31.927083
-106.791379,31.927083
-106.791379,31.927083
-106.689655,31.875000
-106.689655,31.875000
-106.689655,31.875000
-106.689655,31.875000
-106.587931,31.875000
-106.587931,31.875000
-106.486207,31.822917
-106.486207,31.822917
-106.384483,31.822917
-106.384483,31.822917
-106.282759,31.822917
-106.282759,31.770833
-106.181034,31.770833
-105.977586,31.718750
-105.875862,31.666667
-105.672414,31.562500
-105.468966,31.510417
-105.367241,31.458333
-105.265517,31.406250
-105.163793,31.354167
-105.163793,31.354167
-105.062069,31.354167
-104.960345,31.302083
-104.960345,31.250000
-104.858621,31.250000
-104.756897,31.250000
-104.756897,31.197917
-104.655172,31.197917
-104.553448,31.145833
-104.553448,31.145833
-104.350000,31.093750
-104.146552,31.093750
-104.146552,31.041667
-104.044828,31.041667
-104.044828,31.041667
-103.841379,30.989583
-103.841379,30.989583
-103.739655,30.989583
-103.637931,30.989583
-103.536207,30.989583
-103.434483,30.989583
-103.434483,30.989583
-103.434483,30.989583
-103.332759,30.989583
-103.231034,30.989583
-103.129310,30.989583
-103.129310,30.989583
-103.027586,30.989583
-103.027586,30.989583
-102.925862,30.989583
-102.925862,30.989583
-102.824138,30.989583
-102.824138,30.989583
-102.722414,30.989583
-102.722414,30.989583
-102.722414,30.989583
-102.620690,30.989583
-102.620690,30.937500
-102.417241,30.937500
-102.213793,30.885417
-102.213793,30.885417
-102.213793,30.885417
-102.112069,30.885417
-101.908621,30.833333
-101.806897,30.833333
-101.603448,30.833333
-101.501724,30.833333
-101.501724,30.833333
-101.400000,30.833333
-101.298276,30.833333
-101.196552,30.833333
-101.196552,30.833333
-101.094828,30.833333
-101.094828,30.833333
-100.993103,30.833333
-100.993103,30.833333
-100.891379,30.833333
-100.891379,30.833333
-100.789655,30.833333
-100.687931,30.833333
-100.687931,30.833333
-100.586207,30.833333
-100.586207,30.833333
-100.484483,30.833333
-100.484483,30.833333
-100.382759,30.833333
-100.382759,30.833333
-100.281034,30.833333
-100.281034,30.833333
-100.179310,30.833333
-100.179310,30.833333
-100.077586,30.781250
-100.077586,30.781250
-99.975862,30.781250
-99.975862,30.781250
-99.975862,30.781250
-99.874138,30.729167
-99.874138,30.729167
-99.772414,30.729167
-99.772414,30.729167
-99.568966,30.729167
-99.467241,30.677083
-99.365517,30.625000
-99.263793,30.572917
-99.263793,30.572917
-99.263793,30.572917
-99.162069,30.572917
-99.162069,30.572917
-98.958621,30.520833
-98.958621,30.520833
-98.958621,30.520833
-98.856897,30.520833
-98.755172,30.468750
-98.755172,30.468750
-98.653448,30.468750
-98.551724,30.416667
-98.450000,30.416667
-98.450000,30.416667
-98.348276,30.416667
-98.348276,30.416667
-98.246552,30.364583
-98.144828,30.312500
-98.043103,30.260417
-98.043103,30.260417
-98.043103,30.260417
-97.941379,30.260417
-97.941379,30.260417
-97.941379,30.260417
-97.839655,30.260417
-97.839655,30.260417
-97.737931,30.208333
-97.737931,30.208333
-97.737931,30.208333
-97.636207,30.208333
-97.636207,30.208333
-97.534483,30.208333
-97.534483,30.156250
-97.432759,30.156250
-97.432759,30.156250
-97.432759,30.156250
-97.331034,30.156250
-97.331034,30.156250
-97.331034,30.156250
-97.229310,30.156250
-97.127586,30.208333
-97.025862,30.260417
-97.025862,30.312500
-96.924138,30.364583
-96.924138,30.364583
-96.924138,30.416667
-96.924138,30.416667
-96.924138,30.416667
-97.025862,30.468750
-97.025862,30.468750
-97.025862,30.468750
-97.025862,30.468750
-97.025862,30.520833
-97.025862,30.520833
